url,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,status
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/ade7a609b03d9d3/?cmd=_update&dispatch=ade7a609b03d9d368&locale=_US,128,50,1,4,1,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0.140625,0.0,0,0,0,1,0,3,1,0,0,0,0,0,13,2,2,3,2,17,13,17,7.769230769,8.4,7.375,0,0,0,0,0,0,51,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,1,0,25,3993,5707171,0,1,0,phishing
http://cupkaju.wz.sk/5404F71C9393DB6077004355BF900625,53,13,1,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.490566038,0.0,0,0,0,0,0,2,0,1,0,0,1,0,3,4,2,2,32,32,7,32,13.66666667,4.5,32.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,1133,-1,319428,0,1,2,phishing
https://data-and-the-world.onrender.com/posts/spotify-cross-playlist-predictions-one/,85,31,0,2,7,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,11,1,3,3,3,11,8,11,5.6363636360000005,4.6,6.5,0,0,0,0,0,0,15,0.266666667,0.7333333329999999,0,1,0,0.0,0,0.0,0,1,40.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,1,0,600,1957,0,0,0,0,phishing
http://kam-net.ci/1738312771/956060147/home.php,47,10,1,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.404255319,0.0,0,0,0,0,0,2,1,1,0,0,0,0,6,1,3,3,3,10,3,10,5.333333333,3.0,6.5,0,0,0,0,0,0,239,0.928870293,0.071129707,0,4,0,0.0,0,0.764705882,0,1,0.0,0,16.66666667,83.33333333,0,0,0,100.0,0,0,0,1,1,1,0,199,0,0,0,0,phishing
http://wms.santander.com-mx-servicio.tenetmx.com,48,41,0,4,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0,0,0,1,0,3,0,0,1,0,0,0,6,0,2,2,0,9,9,0,5.333333333,5.333333333,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,247,118,0,0,1,0,phishing
https://zrq2y.weblium.site/,27,18,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.037037037,0.055555556,0,0,0,0,0,2,0,0,0,0,0,0,2,0,5,5,0,7,7,0,6.0,6.0,0.0,1,0,0,0,0,0,48,0.8125,0.1875,0,1,0,0.222222222,0,0.0,0,1,64.70588235,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,0,1230,123186,0,1,2,phishing
http://server685641.nazwa.pl/weryfikacja/mobile,47,21,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.127659574,0.285714286,0,0,0,0,0,2,0,0,0,0,1,0,4,0,5,5,6,12,12,11,8.5,8.5,8.5,0,0,0,0,0,0,24,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,0,0,2696,7530,23288,0,1,4,phishing
https://bancol0mbiasa.webcindario.com/,38,29,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.026315789,0.034482759,0,0,0,0,0,2,0,0,0,0,0,0,2,0,11,11,0,13,13,0,12.0,12.0,0.0,0,0,0,0,0,0,1,0.0,1.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,100.0,0,0,0,0.0,0,0,1,1,0,0,948,7087,18105,0,1,3,phishing
https://j31eb.app.link/8IwFsyhKu6,33,14,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.121212121,0.142857143,0,0,0,0,0,2,0,0,0,0,0,0,3,1,3,3,10,10,5,10,6.0,4.0,10.0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,2430,1953,4360,0,1,3,phishing
https://user9765656787.et.r.appspot.com/token/716/2/aaaaeia4fasrpdqipn60vvbbjvzgpoke_kntyllroyvjr0yjz63drrqavztp9nj8rfemtop_kagmu6cuyyeuakjpz_fgvnzbc5188w,154,31,1,4,0,0,0,0,0,0,3,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0.175324675,0.322580645,0,0,0,0,0,3,0,0,1,0,0,0,11,13,1,1,1,38,14,38,12.0,6.0,15.42857143,0,0,0,0,0,0,21,0.19047619,0.80952381,0,1,0,0.176470588,0,0.0,0,1,0.0,0,20.0,80.0,0,0,0,25.0,0,0,0,1,1,0,228,5616,0,0,1,5,phishing
